Year,NOC,Gold,Silver,Bronze,Total,Historical_Total_Medals,Historical_Gold_Medals,Is_Host,Participant_Count,Is_Participated,Previous_Medals,Previous_Participants,Past_Medal_Efficiency,Previous_Gold,Previous_Silver,Previous_Bronze,Previous_Total
1924,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1928,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1932,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1936,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1948,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
1980,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,1,0.0,9.0,0.0,0.0,0.0,0.0,0.0
2000,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,1,0.0,9.0,0.0,0.0,0.0,0.0,0.0
2004,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,1,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2008,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,1,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2012,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,1,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2016,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,1,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2020,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,1,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2024,Albania,0.0,0.0,2.0,2.0,0.0,0.0,0,9.0,1,0.0,10.0,0.0,0.0,0.0,0.0,0.0
1896,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1900,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1924,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1928,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1932,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1936,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1948,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,1,0.0,7.0,0.0,0.0,0.0,0.0,0.0
1972,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,1,0.0,9.0,0.0,0.0,0.0,0.0,0.0
1976,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
1980,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0,63.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Algeria,0.0,0.0,2.0,2.0,0.0,0.0,0,33.0,1,0.0,63.0,0.0,0.0,0.0,0.0,0.0
1988,Algeria,0.0,0.0,0.0,0.0,2.0,0.0,0,45.0,1,2.0,33.0,0.06060606060606061,0.0,0.0,2.0,2.0
1992,Algeria,1.0,0.0,1.0,2.0,2.0,0.0,0,36.0,1,0.0,45.0,0.0,0.0,0.0,0.0,0.0
1996,Algeria,2.0,0.0,1.0,3.0,4.0,1.0,0,47.0,1,2.0,36.0,0.05555555555555555,1.0,0.0,1.0,2.0
2000,Algeria,1.0,1.0,3.0,5.0,7.0,3.0,0,51.0,1,3.0,47.0,0.06382978723404255,2.0,0.0,1.0,3.0
2004,Algeria,0.0,0.0,0.0,0.0,12.0,4.0,0,71.0,1,5.0,51.0,0.09803921568627451,1.0,1.0,3.0,5.0
2008,Algeria,0.0,1.0,1.0,2.0,12.0,4.0,0,57.0,1,0.0,71.0,0.0,0.0,0.0,0.0,0.0
2012,Algeria,1.0,0.0,0.0,1.0,14.0,4.0,0,39.0,1,2.0,57.0,0.03508771929824561,0.0,1.0,1.0,2.0
2016,Algeria,0.0,2.0,0.0,2.0,15.0,5.0,0,74.0,1,1.0,39.0,0.02564102564102564,1.0,0.0,0.0,1.0
2020,Algeria,0.0,0.0,0.0,0.0,17.0,5.0,0,45.0,1,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,2.0
2024,Algeria,2.0,0.0,1.0,3.0,17.0,5.0,0,55.0,1,0.0,45.0,0.0,0.0,0.0,0.0,0.0
1896,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1900,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1908,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1920,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1924,Argentina,1.0,3.0,2.0,6.0,0.0,0.0,0,109.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1928,Argentina,3.0,3.0,1.0,7.0,6.0,1.0,0,98.0,1,6.0,109.0,0.05504587155963303,1.0,3.0,2.0,6.0
1932,Argentina,3.0,1.0,0.0,4.0,13.0,4.0,0,47.0,1,7.0,98.0,0.07142857142857142,3.0,3.0,1.0,7.0
1936,Argentina,2.0,2.0,3.0,7.0,17.0,7.0,0,68.0,1,4.0,47.0,0.0851063829787234,3.0,1.0,0.0,4.0
1948,Argentina,3.0,3.0,1.0,7.0,24.0,9.0,0,295.0,1,7.0,68.0,0.10294117647058823,2.0,2.0,3.0,7.0
1952,Argentina,1.0,2.0,2.0,5.0,31.0,12.0,0,174.0,1,7.0,295.0,0.023728813559322035,3.0,3.0,1.0,7.0
1956,Argentina,0.0,1.0,1.0,2.0,36.0,13.0,0,44.0,1,5.0,174.0,0.028735632183908046,1.0,2.0,2.0,5.0
1960,Argentina,0.0,1.0,1.0,2.0,38.0,13.0,0,116.0,1,2.0,44.0,0.045454545454545456,0.0,1.0,1.0,2.0
1964,Argentina,0.0,1.0,0.0,1.0,40.0,13.0,0,148.0,1,2.0,116.0,0.017241379310344827,0.0,1.0,1.0,2.0
1968,Argentina,0.0,0.0,2.0,2.0,41.0,13.0,0,132.0,1,1.0,148.0,0.006756756756756757,0.0,1.0,0.0,1.0
1972,Argentina,0.0,1.0,0.0,1.0,43.0,13.0,0,123.0,1,2.0,132.0,0.015151515151515152,0.0,0.0,2.0,2.0
1976,Argentina,0.0,0.0,0.0,0.0,44.0,13.0,0,106.0,1,1.0,123.0,0.008130081300813009,0.0,1.0,0.0,1.0
1980,Argentina,0.0,0.0,0.0,0.0,44.0,13.0,0,0.0,0,0.0,106.0,0.0,0.0,0.0,0.0,0.0
1984,Argentina,0.0,0.0,0.0,0.0,44.0,13.0,0,115.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Argentina,0.0,1.0,1.0,2.0,44.0,13.0,0,134.0,1,0.0,115.0,0.0,0.0,0.0,0.0,0.0
1992,Argentina,0.0,0.0,1.0,1.0,46.0,13.0,0,111.0,1,2.0,134.0,0.014925373134328358,0.0,1.0,1.0,2.0
1996,Argentina,0.0,2.0,1.0,3.0,47.0,13.0,0,221.0,1,1.0,111.0,0.009009009009009009,0.0,0.0,1.0,1.0
2000,Argentina,0.0,2.0,2.0,4.0,50.0,13.0,0,165.0,1,3.0,221.0,0.013574660633484163,0.0,2.0,1.0,3.0
2004,Argentina,2.0,0.0,4.0,6.0,54.0,13.0,0,179.0,1,4.0,165.0,0.024242424242424242,0.0,2.0,2.0,4.0
2008,Argentina,2.0,0.0,4.0,6.0,60.0,15.0,0,145.0,1,6.0,179.0,0.0335195530726257,2.0,0.0,4.0,6.0
2012,Argentina,1.0,1.0,2.0,4.0,66.0,17.0,0,148.0,1,6.0,145.0,0.041379310344827586,2.0,0.0,4.0,6.0
2016,Argentina,3.0,1.0,0.0,4.0,70.0,18.0,0,232.0,1,4.0,148.0,0.02702702702702703,1.0,1.0,2.0,4.0
2020,Argentina,0.0,1.0,2.0,3.0,74.0,21.0,0,208.0,1,4.0,232.0,0.017241379310344827,3.0,1.0,0.0,4.0
2024,Argentina,1.0,1.0,1.0,3.0,77.0,21.0,0,154.0,1,3.0,208.0,0.014423076923076924,0.0,1.0,2.0,3.0
1896,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1900,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1924,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1928,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1932,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1936,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1948,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,Armenia,1.0,1.0,0.0,2.0,0.0,0.0,0,38.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,Armenia,0.0,0.0,1.0,1.0,2.0,1.0,0,26.0,1,2.0,38.0,0.05263157894736842,1.0,1.0,0.0,2.0
2004,Armenia,0.0,0.0,0.0,0.0,3.0,1.0,0,19.0,1,1.0,26.0,0.038461538461538464,0.0,0.0,1.0,1.0
2008,Armenia,0.0,1.0,4.0,5.0,3.0,1.0,0,26.0,1,0.0,19.0,0.0,0.0,0.0,0.0,0.0
2012,Armenia,0.0,1.0,1.0,2.0,8.0,1.0,0,31.0,1,5.0,26.0,0.19230769230769232,0.0,1.0,4.0,5.0
2016,Armenia,1.0,3.0,0.0,4.0,10.0,1.0,0,34.0,1,2.0,31.0,0.06451612903225806,0.0,1.0,1.0,2.0
2020,Armenia,0.0,2.0,2.0,4.0,14.0,2.0,0,19.0,1,4.0,34.0,0.11764705882352941,1.0,3.0,0.0,4.0
2024,Armenia,0.0,3.0,1.0,4.0,18.0,2.0,0,17.0,1,4.0,19.0,0.21052631578947367,0.0,2.0,2.0,4.0
1896,Australia,2.0,0.0,0.0,2.0,0.0,0.0,0,5.0,1,,0.0,0.0,0.0,0.0,0.0,0.0
1900,Australia,2.0,0.0,3.0,5.0,2.0,2.0,0,6.0,1,2.0,5.0,0.4,2.0,0.0,0.0,2.0
1904,Australia,0.0,3.0,1.0,4.0,7.0,4.0,0,6.0,1,5.0,6.0,0.8333333333333334,2.0,0.0,3.0,5.0
1908,Australia,1.0,2.0,2.0,5.0,11.0,4.0,0,0.0,0,4.0,6.0,0.6666666666666666,0.0,3.0,1.0,4.0
1912,Australia,2.0,2.0,3.0,7.0,16.0,5.0,0,0.0,0,5.0,0.0,inf,1.0,2.0,2.0,5.0
1920,Australia,0.0,2.0,1.0,3.0,23.0,7.0,0,29.0,1,7.0,0.0,inf,2.0,2.0,3.0,7.0
1924,Australia,3.0,1.0,2.0,6.0,26.0,7.0,0,60.0,1,3.0,29.0,0.10344827586206896,0.0,2.0,1.0,3.0
1928,Australia,1.0,2.0,1.0,4.0,32.0,10.0,0,29.0,1,6.0,60.0,0.1,3.0,1.0,2.0,6.0
1932,Australia,3.0,1.0,1.0,5.0,36.0,11.0,0,20.0,1,4.0,29.0,0.13793103448275862,1.0,2.0,1.0,4.0
1936,Australia,0.0,0.0,1.0,1.0,41.0,14.0,0,39.0,1,5.0,20.0,0.25,3.0,1.0,1.0,5.0
1948,Australia,2.0,6.0,5.0,13.0,42.0,14.0,0,103.0,1,1.0,39.0,0.02564102564102564,0.0,0.0,1.0,1.0
1952,Australia,6.0,2.0,3.0,11.0,55.0,16.0,0,140.0,1,13.0,103.0,0.1262135922330097,2.0,6.0,5.0,13.0
1956,Australia,13.0,8.0,14.0,35.0,66.0,22.0,1,412.0,1,11.0,140.0,0.07857142857142857,6.0,2.0,3.0,11.0
1960,Australia,8.0,8.0,6.0,22.0,101.0,35.0,0,280.0,1,35.0,412.0,0.08495145631067962,13.0,8.0,14.0,35.0
1964,Australia,6.0,2.0,10.0,18.0,123.0,43.0,0,392.0,1,22.0,280.0,0.07857142857142857,8.0,8.0,6.0,22.0
1968,Australia,5.0,7.0,5.0,17.0,141.0,49.0,0,224.0,1,18.0,392.0,0.04591836734693878,6.0,2.0,10.0,18.0
1972,Australia,8.0,7.0,2.0,17.0,158.0,54.0,0,266.0,1,17.0,224.0,0.07589285714285714,5.0,7.0,5.0,17.0
1976,Australia,0.0,1.0,4.0,5.0,175.0,62.0,0,274.0,1,17.0,266.0,0.06390977443609022,8.0,7.0,2.0,17.0
1980,Australia,2.0,2.0,5.0,9.0,180.0,62.0,0,190.0,1,5.0,274.0,0.01824817518248175,0.0,1.0,4.0,5.0
1984,Australia,4.0,8.0,12.0,24.0,189.0,64.0,0,337.0,1,9.0,190.0,0.04736842105263158,2.0,2.0,5.0,9.0
1988,Australia,3.0,6.0,5.0,14.0,213.0,68.0,0,339.0,1,24.0,337.0,0.0712166172106825,4.0,8.0,12.0,24.0
1992,Australia,7.0,9.0,11.0,27.0,227.0,71.0,0,390.0,1,14.0,339.0,0.04129793510324484,3.0,6.0,5.0,14.0
1996,Australia,9.0,9.0,23.0,41.0,254.0,78.0,0,550.0,1,27.0,390.0,0.06923076923076923,7.0,9.0,11.0,27.0
2000,Australia,16.0,25.0,17.0,58.0,295.0,87.0,1,788.0,1,41.0,550.0,0.07454545454545454,9.0,9.0,23.0,41.0
2004,Australia,17.0,16.0,17.0,50.0,353.0,103.0,0,601.0,1,58.0,788.0,0.07360406091370558,16.0,25.0,17.0,58.0
2008,Australia,14.0,15.0,17.0,46.0,403.0,120.0,0,570.0,1,50.0,601.0,0.08319467554076539,17.0,16.0,17.0,50.0
2012,Australia,8.0,15.0,12.0,35.0,449.0,134.0,0,514.0,1,46.0,570.0,0.08070175438596491,14.0,15.0,17.0,46.0
2016,Australia,8.0,11.0,10.0,29.0,484.0,142.0,0,518.0,1,35.0,514.0,0.06809338521400778,8.0,15.0,12.0,35.0
2020,Australia,17.0,7.0,22.0,46.0,513.0,150.0,0,638.0,1,29.0,518.0,0.055984555984555984,8.0,11.0,10.0,29.0
2024,Australia,18.0,19.0,16.0,53.0,559.0,167.0,0,649.0,1,46.0,638.0,0.07210031347962383,17.0,7.0,22.0,46.0
1896,Austria,2.0,1.0,2.0,5.0,0.0,0.0,0,8.0,1,,0.0,0.0,0.0,0.0,0.0,0.0
1900,Austria,0.0,3.0,3.0,6.0,5.0,2.0,0,26.0,1,5.0,8.0,0.625,2.0,1.0,2.0,5.0
1904,Austria,1.0,1.0,1.0,3.0,11.0,2.0,0,7.0,1,6.0,26.0,0.23076923076923078,0.0,3.0,3.0,6.0
1908,Austria,0.0,0.0,1.0,1.0,14.0,3.0,0,13.0,1,3.0,7.0,0.42857142857142855,1.0,1.0,1.0,3.0
1912,Austria,0.0,2.0,2.0,4.0,15.0,3.0,0,132.0,1,1.0,13.0,0.07692307692307693,0.0,0.0,1.0,1.0
1920,Austria,0.0,0.0,0.0,0.0,19.0,3.0,0,0.0,0,4.0,132.0,0.030303030303030304,0.0,2.0,2.0,4.0
1924,Austria,0.0,3.0,1.0,4.0,19.0,3.0,0,56.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1928,Austria,2.0,0.0,1.0,3.0,23.0,3.0,0,113.0,1,4.0,56.0,0.07142857142857142,0.0,3.0,1.0,4.0
1932,Austria,1.0,1.0,3.0,5.0,26.0,5.0,0,33.0,1,3.0,113.0,0.02654867256637168,2.0,0.0,1.0,3.0
1936,Austria,5.0,7.0,5.0,17.0,31.0,6.0,0,363.0,1,5.0,33.0,0.15151515151515152,1.0,1.0,3.0,5.0
1948,Austria,1.0,0.0,3.0,4.0,48.0,11.0,0,239.0,1,17.0,363.0,0.046831955922865015,5.0,7.0,5.0,17.0
1952,Austria,0.0,1.0,1.0,2.0,52.0,12.0,0,238.0,1,4.0,239.0,0.016736401673640166,1.0,0.0,3.0,4.0
1956,Austria,0.0,0.0,2.0,2.0,54.0,12.0,0,57.0,1,2.0,238.0,0.008403361344537815,0.0,1.0,1.0,2.0
1960,Austria,1.0,1.0,0.0,2.0,56.0,12.0,0,198.0,1,2.0,57.0,0.03508771929824561,0.0,0.0,2.0,2.0
1964,Austria,0.0,0.0,0.0,0.0,58.0,13.0,0,82.0,1,2.0,198.0,0.010101010101010102,1.0,1.0,0.0,2.0
1968,Austria,0.0,2.0,2.0,4.0,58.0,13.0,0,59.0,1,0.0,82.0,0.0,0.0,0.0,0.0,0.0
1972,Austria,0.0,1.0,2.0,3.0,62.0,13.0,0,143.0,1,4.0,59.0,0.06779661016949153,0.0,2.0,2.0,4.0
